Rank	Male name	Female name
1	Liam	Olivia
2	Noah	Emma
3	Oliver	Amelia
4	Theodore	Charlotte
5	James	Mia
6	Henry	Sophia
7	Mateo	Isabella
8	Elijah	Evelyn
9	Lucas	Ava
10	William	Sofia
11	Benjamin	Camila
12	Levi	Harper
13	Ezra	Luna
14	Sebastian	Eleanor
15	Jack	Violet
16	Daniel	Aurora
17	Samuel	Elizabeth
18	Michael	Eliana
19	Ethan	Hazel
20	Asher	Chloe
21	John	Ellie
22	Hudson	Nora
23	Luca	Gianna
24	Leo	Lily
25	Elias	Emily
26	Owen	Aria
27	Alexander	Scarlett
28	Dylan	Penelope
29	Santiago	Zoe
30	Julian	Ella
31	David	Avery
32	Joseph	Abigail
33	Matthew	Mila
34	Luke	Lucy
35	Jackson	Isla
36	Maverick	Ivy
37	Miles	Layla
38	Wyatt	Lainey
39	Thomas	Nova
40	Isaac	Grace
41	Jacob	Willow
42	Mason	Riley
43	Gabriel	Emilia
44	Anthony	Naomi
45	Carter	Elena
46	Logan	Madison
47	Aiden	Valentina
48	Grayson	Victoria
49	Caleb	Stella
50	Cooper	Delilah
51	Charles	Maya
52	Roman	Hannah
53	Josiah	Leah
54	Ezekiel	Lillian
55	Thiago	Genesis
56	Isaiah	Josephine
57	Joshua	Sadie
58	Wesley	Adeline
59	Jayden	Zoey
60	Bennett	Sophie
61	Christopher	Paisley
62	Nathan	Alice
63	Angel	Ruby
64	Nolan	Eloise
65	Waylon	Madelyn
66	Cameron	Leilani
67	Brooks	Claire
68	Andrew	Addison
69	Beau	Ayla
70	Weston	Emery
71	Rowan	Iris
72	Adrian	Eden
73	Lincoln	Natalie
74	Enzo	Maria
75	Ian	Maeve
76	Kai	Daisy
77	Christian	Vivian
78	Axel	Clara
79	Aaron	Autumn
80	Theo	Liliana
81	Silas	Everly
82	Walker	Audrey
83	Jonathan	Lyla
84	Leonardo	Jade
85	Everett	Kinsley
86	Micah	Millie
87	Ryan	Madeline
88	August	Josie
89	Gael	Kennedy
90	Robert	Athena
91	Jose	Melody
92	Eli	Caroline
93	Jeremiah	Aaliyah
94	Luka	Anna
95	Amir	Sarah
96	Jaxon	Quinn
97	Parker	Lydia
98	Colton	Lucia
99	Myles	Allison
100	Adam	Hailey
101	Atlas	Ailany
102	Xavier	Cora
103	Easton	Ariana
104	Jordan	Parker
105	Arthur	Natalia
106	Landon	Gabriella
107	Austin	Savannah
108	Dominic	Brooklyn
109	Adriel	Bella
110	Damian	Georgia
111	Vincent	Juniper
112	River	Alaia
113	Emiliano	Raelynn
114	Jace	Hadley
115	Archer	Rose
116	Lorenzo	Julia
117	Jameson	Serenity
118	Nicholas	Eliza
119	Emmett	Margaret
120	Milo	Eva
121	Harrison	Amara
122	Giovanni	Melanie
123	Carson	Cecilia
124	George	Ashley
125	Kayden	Rylee
126	Jonah	Margot
127	Greyson	Samantha
128	Hunter	Catalina
129	Graham	Juliette
130	Luis	Aubrey
131	Declan	Esther
132	Sawyer	Mary
